# keyinject v1
# pid=91729 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=12155566765283 mach_cont_ticks=42870621903591 wall_epoch_ns=1783020968037040000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
308,0,0,12156343282921,506514303455041,42871398421230,1786308267551250,1783021000391835000
309,0,0,12156345736289,506514405678708,42871400874597,1786308369774875,1783021000494059000
310,0,0,12156348220747,506514509197791,42871403359056,1786308473294000,1783021000597577000
311,0,0,12156350657573,506514610732208,42871405795881,1786308574828375,1783021000699111000
312,0,0,12156353077141,506514711547541,42871408215450,1786308675643750,1783021000799926000
313,0,0,12156355573984,506514815582666,42871410712293,1786308779678875,1783021000903961000
314,0,0,12156358072281,506514919678375,42871413210589,1786308883774541,1783021001008056000
315,0,0,12156360593938,506515024747416,42871415732246,1786308988843583,1783021001113125000
316,0,0,12156363116496,506515129854000,42871418254804,1786309093950166,1783021001218231000
317,0,0,12156365639673,506515234986375,42871420777981,1786309199082541,1783021001323363000
318,0,0,12156368162875,506515340119791,42871423301184,1786309304216000,1783021001428497000
319,0,0,12156370687461,506515445310875,42871425825769,1786309409407041,1783021001533687000
320,0,0,12156373212301,506515550512541,42871428350609,1786309514608708,1783021001638889000
321,0,0,12156375645620,506515651900833,42871430783928,1786309615997000,1783021001740277000
322,0,0,12156378164609,506515756858708,42871433302917,1786309720954875,1783021001845234000
323,0,0,12156380688410,506515862017083,42871435826719,1786309826113291,1783021001950392000
324,0,0,12156383173646,506515965568583,42871438311955,1786309929664791,1783021002053943000
325,0,0,12156385696478,506516070686583,42871440834787,1786310034782791,1783021002159061000
326,0,0,12156388186367,506516174431958,42871443324675,1786310138528125,1783021002262806000
327,0,0,12156390710680,506516279611666,42871445848989,1786310243707875,1783021002367985000
328,0,0,12156393234119,506516384754958,42871448372427,1786310348851125,1783021002473128000
329,0,0,12156395758312,506516489929666,42871450896621,1786310454025875,1783021002578303000
