# keyinject v1
# pid=79268 n=500 warmup=5 gap_ms=100.0 keycode=0 char=a
# inject_subsystem=nice.keyharness inject_category=inject inject_name=KeyPost signpost_id=seq
# mach_timebase numer=125 denom=3  (ns = ticks*numer/denom)
# anchor mach_abs_ticks=11962715517069 mach_cont_ticks=41777559310555 wall_epoch_ns=1782975423938397000
seq,warmup,keycode,mach_abs_ticks,mach_abs_ns,mach_cont_ticks,mach_cont_ns,wall_epoch_ns
310,0,0,11963497014104,498479042254333,41778340807591,1740764200316291,1782975456500852000
311,0,0,11963499540532,498479147522166,41778343334018,1740764305584083,1782975456606120000
312,0,0,11963502001592,498479250066333,41778345795078,1740764408128250,1782975456708665000
313,0,0,11963504519893,498479354995541,41778348313379,1740764513057458,1782975456813594000
314,0,0,11963507045191,498479460216291,41778350838677,1740764618278208,1782975456918815000
315,0,0,11963509571063,498479565460958,41778353364550,1740764723522916,1782975457024060000
316,0,0,11963512079715,498479669988125,41778355873201,1740764828050041,1782975457128588000
317,0,0,11963514604137,498479775172375,41778358397624,1740764933234333,1782975457233772000
318,0,0,11963517126268,498479880261166,41778360919755,1740765038323125,1782975457338861000
319,0,0,11963519652128,498479985505333,41778363445614,1740765143567250,1782975457444106000
320,0,0,11963522177999,498480090749958,41778365971486,1740765248811916,1782975457549351000
321,0,0,11963524704307,498480196012791,41778368497794,1740765354074750,1782975457654614000
322,0,0,11963527231420,498480301309166,41778371024907,1740765459371125,1782975457759910000
323,0,0,11963529756614,498480406525583,41778373550101,1740765564587541,1782975457865127000
324,0,0,11963532284452,498480511852166,41778376077938,1740765669914083,1782975457970454000
325,0,0,11963534773915,498480615579791,41778378567401,1740765773641708,1782975458074182000
326,0,0,11963537301173,498480720882208,41778381094659,1740765878944125,1782975458179484000
327,0,0,11963539747807,498480822825291,41778383541293,1740765980887208,1782975458281428000
328,0,0,11963542272327,498480928013625,41778386065814,1740766086075583,1782975458386616000
329,0,0,11963544798605,498481033275208,41778388592091,1740766191337125,1782975458491878000
